1 1000 jacobi Norm: 0.000046 k: 10000 Time: 91.143552
2 1000 jacobi Norm: 0.000012 k: 10000 Time: 32.577437
4 1000 jacobi Norm: 0.000009 k: 10000 Time: 21.237746
6 1000 jacobi Norm: 0.000007 k: 10000 Time: 16.991378
8 1000 jacobi Norm: 0.000006 k: 10000 Time: 16.225319
10 1000 jacobi Norm: 0.000004 k: 10000 Time: 15.127523
12 1000 jacobi Norm: 0.000000 k: 10000 Time: 13.125187
14 1000 jacobi Norm: 0.000003 k: 10000 Time: 9.250491
16 1000 jacobi Norm: 0.000001 k: 10000 Time: 9.308588
1 1000 jacobi Norm: 0.000046 k: 10000 Time: 124.016690
2 1000 jacobi Norm: 0.000034 k: 10000 Time: 53.508155
4 1000 jacobi Norm: 0.000004 k: 10000 Time: 21.110422
6 1000 jacobi Norm: 0.000002 k: 10000 Time: 23.538121
8 1000 jacobi Norm: 0.000010 k: 10000 Time: 16.864546
10 1000 jacobi Norm: 0.000002 k: 10000 Time: 16.070122
12 1000 jacobi Norm: 0.000002 k: 10000 Time: 13.373025
14 1000 jacobi Norm: 0.000012 k: 10000 Time: 9.572863
16 1000 jacobi Norm: 0.000003 k: 10000 Time: 8.840979
1 1000 jacobi Norm: 0.000046 k: 10000 Time: 86.642994
2 1000 jacobi Norm: 0.000034 k: 10000 Time: 32.177094
4 1000 jacobi Norm: 0.000009 k: 10000 Time: 20.681691
6 1000 jacobi Norm: 0.000003 k: 10000 Time: 18.217536
8 1000 jacobi Norm: 0.000020 k: 10000 Time: 15.499109
10 1000 jacobi Norm: 0.000004 k: 10000 Time: 15.392285
12 1000 jacobi Norm: 0.000012 k: 10000 Time: 13.481990
14 1000 jacobi Norm: 0.000002 k: 10000 Time: 9.460966
16 1000 jacobi Norm: 0.000001 k: 10000 Time: 8.103572
