1 2000 0.698637
1 4000 2.775306
1 6000 6.268054
1 8000 11.070974
1 10000 17.279987
2 2000 0.508205
2 4000 1.988507
2 6000 4.451212
2 8000 7.929666
2 10000 12.351880
4 2000 0.514137
4 4000 1.972037
4 6000 4.360356
4 8000 7.787841
4 10000 12.180183
8 2000 0.279968
8 4000 1.113406
8 6000 2.439728
8 8000 4.330693
8 10000 6.662563
16 2000 0.164757
16 4000 0.623523
16 6000 1.382353
16 8000 2.469045
16 10000 3.910998
1 10000 17.606372
2 10000 12.873712
4 10000 12.482563
6 10000 9.266058
8 10000 6.957313
10 10000 5.343632
12 10000 4.905829
14 10000 4.429127
16 10000 3.831941
1 10000 17.434492
2 10000 12.452993
4 10000 12.281734
6 10000 9.049620
8 10000 6.823377
10 10000 5.468169
12 10000 5.016273
